"","benchmark","class","tool","budget","config","score.mean","score.sd"
"126","PDFBOX-198","org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLine","evosuite",180,"PDFBOX-198_org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLine_180",1.30811599956673,0.028837016464468
"127","PDFBOX-198","org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLine","randoop",60,"PDFBOX-198_org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLine_60",3.06552556674569,0.0242036138728284
"128","PDFBOX-198","org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLine","randoop",180,"PDFBOX-198_org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLine_180",3.18361324422591,0.0038215763965413
"129","PDFBOX-214","org.apache.pdfbox.pdfparser.EndstreamOutputStream","evosuite",60,"PDFBOX-214_org.apache.pdfbox.pdfparser.EndstreamOutputStream_60",4.898303772,0.407378826108648
"130","PDFBOX-214","org.apache.pdfbox.pdfparser.EndstreamOutputStream","evosuite",180,"PDFBOX-214_org.apache.pdfbox.pdfparser.EndstreamOutputStream_180",4.3,1.54459274338581
"131","PDFBOX-214","org.apache.pdfbox.pdfparser.EndstreamOutputStream","randoop",60,"PDFBOX-214_org.apache.pdfbox.pdfparser.EndstreamOutputStream_60",2.66757597627996,0.0767889419680333
"132","PDFBOX-214","org.apache.pdfbox.pdfparser.EndstreamOutputStream","randoop",180,"PDFBOX-214_org.apache.pdfbox.pdfparser.EndstreamOutputStream_180",4.57030391756228,0.983593563841328
"133","PDFBOX-220","org.apache.pdfbox.filter.JPXFilter","evosuite",60,"PDFBOX-220_org.apache.pdfbox.filter.JPXFilter_60",0.480630736617669,0.00154364491290469
"134","PDFBOX-220","org.apache.pdfbox.filter.JPXFilter","evosuite",180,"PDFBOX-220_org.apache.pdfbox.filter.JPXFilter_180",0.473426572,0.0243252137435345
"135","PDFBOX-220","org.apache.pdfbox.filter.JPXFilter","randoop",60,"PDFBOX-220_org.apache.pdfbox.filter.JPXFilter_60",0.0528710604649747,0.00029368251913531
"136","PDFBOX-220","org.apache.pdfbox.filter.JPXFilter","randoop",180,"PDFBOX-220_org.apache.pdfbox.filter.JPXFilter_180",0.0540124518262397,4.8568004484446e-05
"137","PDFBOX-229","org.apache.pdfbox.util.XMLUtil","evosuite",60,"PDFBOX-229_org.apache.pdfbox.util.XMLUtil_60",2.1025714512,0.979929619313189
